Nº,Año plan,Mes num,Mes,Tema mensual,Semana del año,Semana plan,Día,Fecha,Formato,Pilar,Subtema,Objetivo,Nivel embudo,Tipo contenido,Gancho,Idea central,CTA,Estado,Notas
30,1,8,Agosto,Hábitos y disciplina,32,5,Martes,2026-08-04,Carrusel,Fiscalidad,Sociedades,Autoridad,Consideración,Educativo/Error común,Tener ingresos no significa estar bien gestionado,"Desglosar Sociedades en lenguaje simple, mostrando errores frecuentes, coste oculto y decisión correcta.",Aplícalo esta semana,Pendiente,Posicionamiento: fiscalidad + marketing + IA + crecimiento empresarial
31,1,8,Agosto,Hábitos y disciplina,32,5,Miércoles,2026-08-05,Post,Mentalidad,Identidad,Conexión,Conexión,Reflexión/Hábito,Emprender sin disciplina sale caro,Reflexión práctica sobre Identidad aplicada a empresarios que quieren crecer sin caos.,¿Te identificas?,Pendiente,Posicionamiento: fiscalidad + marketing + IA + crecimiento empresarial
32,1,8,Agosto,Hábitos y disciplina,32,5,Jueves,2026-08-06,Reel,Storytelling,Lección de negocio,Conexión,Consideración,Caso real/Historia,He visto empresas buenas desaparecer por esto,"Contar una historia sobre Lección de negocio para mostrar que visibilidad, números y criterio van juntos.",Te leo en comentarios,Pendiente,Posicionamiento: fiscalidad + marketing + IA + crecimiento empresarial
33,1,8,Agosto,Hábitos y disciplina,32,5,Viernes,2026-08-07,Carrusel,IA,Análisis,Autoridad,Consideración,Tutorial/Herramienta,Así ahorro tiempo sin perder calidad,"Mostrar cómo aplicar Análisis para ahorrar tiempo, ordenar procesos y tomar mejores decisiones.",Escribe INFO,Pendiente,Posicionamiento: fiscalidad + marketing + IA + crecimiento empresarial
34,1,8,Agosto,Hábitos y disciplina,32,5,Sábado,2026-08-08,Post,Marca personal,Lecciones personales,Conexión,Afinidad,Personal/Observación,Detrás del negocio también hay una forma de mirar la vida,"Compartir una pieza humana sobre Lecciones personales conectándola con negocios, identidad y visión.",Guárdalo para recordarlo,Pendiente,Posicionamiento: fiscalidad + marketing + IA + crecimiento empresarial
35,1,8,Agosto,Hábitos y disciplina,32,5,Domingo,2026-08-09,Reel,Venta,Precio,Venta,Conversión,Objeción/CTA,Lo que te cuesta dinero no siempre se ve a simple vista,"Presentar Precio como punto de fricción; explicar problema, consecuencia y cómo lo resuelves con tu enfoque.",Hablemos,Pendiente,Posicionamiento: fiscalidad + marketing + IA + crecimiento empresarial
36,1,8,Agosto,Hábitos y disciplina,33,6,Lunes,2026-08-10,Reel,Marketing,Diferenciación,Viral,Descubrimiento,Opinión/Contracorriente,Muchos negocios confunden contenido con estrategia,"Explicar cómo Diferenciación impacta en la captación, la percepción de marca y las ventas de un negocio real.",Mándaselo a alguien,Pendiente,Posicionamiento: fiscalidad + marketing + IA + crecimiento empresarial
37,1,8,Agosto,Hábitos y disciplina,33,6,Martes,2026-08-11,Carrusel,Fiscalidad,IVA,Autoridad,Consideración,Educativo/Error común,3 errores fiscales que te hacen perder dinero,"Desglosar IVA en lenguaje simple, mostrando errores frecuentes, coste oculto y decisión correcta.",Guarda esta guía,Pendiente,Posicionamiento: fiscalidad + marketing + IA + crecimiento empresarial
38,1,8,Agosto,Hábitos y disciplina,33,6,Miércoles,2026-08-12,Post,Mentalidad,Hábitos,Conexión,Conexión,Reflexión/Hábito,La motivación no sostiene un negocio,Reflexión práctica sobre Hábitos aplicada a empresarios que quieren crecer sin caos.,Te leo en comentarios,Pendiente,Posicionamiento: fiscalidad + marketing + IA + crecimiento empresarial
39,1,8,Agosto,Hábitos y disciplina,33,6,Jueves,2026-08-13,Reel,Storytelling,Antes y después,Conexión,Consideración,Caso real/Historia,Un cliente estuvo a punto de cerrar y el problema no era el impuesto,"Contar una historia sobre Antes y después para mostrar que visibilidad, números y criterio van juntos.",Cuéntame tu experiencia,Pendiente,Posicionamiento: fiscalidad + marketing + IA + crecimiento empresarial
40,1,8,Agosto,Hábitos y disciplina,33,6,Viernes,2026-08-14,Carrusel,IA,Procesos,Autoridad,Consideración,Tutorial/Herramienta,La mayoría usa ChatGPT mal por este motivo,"Mostrar cómo aplicar Procesos para ahorrar tiempo, ordenar procesos y tomar mejores decisiones.",Toma nota,Pendiente,Posicionamiento: fiscalidad + marketing + IA + crecimiento empresarial
41,1,8,Agosto,Hábitos y disciplina,33,6,Sábado,2026-08-15,Post,Marca personal,Creencias,Conexión,Afinidad,Personal/Observación,No todo lo importante cabe en un KPI,"Compartir una pieza humana sobre Creencias conectándola con negocios, identidad y visión.",Compártelo con alguien,Pendiente,Posicionamiento: fiscalidad + marketing + IA + crecimiento empresarial
42,1,8,Agosto,Hábitos y disciplina,33,6,Domingo,2026-08-16,Reel,Venta,Consecuencia,Venta,Conversión,Objeción/CTA,Seguir igual también tiene un precio,"Presentar Consecuencia como punto de fricción; explicar problema, consecuencia y cómo lo resuelves con tu enfoque.",Pide información,Pendiente,Posicionamiento: fiscalidad + marketing + IA + crecimiento empresarial
43,1,8,Agosto,Hábitos y disciplina,34,7,Lunes,2026-08-17,Reel,Marketing,Instagram,Viral,Descubrimiento,Opinión/Contracorriente,No necesitas más seguidores,"Explicar cómo Instagram impacta en la captación, la percepción de marca y las ventas de un negocio real.",Guárdalo,Pendiente,Posicionamiento: fiscalidad + marketing + IA + crecimiento empresarial
44,1,8,Agosto,Hábitos y disciplina,34,7,Martes,2026-08-18,Carrusel,Fiscalidad,Facturación,Autoridad,Consideración,Educativo/Error común,Lo que Hacienda no te perdona aunque factures poco,"Desglosar Facturación en lenguaje simple, mostrando errores frecuentes, coste oculto y decisión correcta.",Compártelo con tu equipo,Pendiente,Posicionamiento: fiscalidad + marketing + IA + crecimiento empresarial
45,1,8,Agosto,Hábitos y disciplina,34,7,Miércoles,2026-08-19,Post,Mentalidad,Energía,Conexión,Conexión,Reflexión/Hábito,Tus hábitos también aparecen en tu facturación,Reflexión práctica sobre Energía aplicada a empresarios que quieren crecer sin caos.,Cuéntame tu experiencia,Pendiente,Posicionamiento: fiscalidad + marketing + IA + crecimiento empresarial
46,1,8,Agosto,Hábitos y disciplina,34,7,Jueves,2026-08-20,Reel,Storytelling,Historia breve,Conexión,Consideración,Caso real/Historia,Esta historia explica por qué vender no basta,"Contar una historia sobre Historia breve para mostrar que visibilidad, números y criterio van juntos.",Guárdalo para recordarlo,Pendiente,Posicionamiento: fiscalidad + marketing + IA + crecimiento empresarial
47,1,8,Agosto,Hábitos y disciplina,34,7,Viernes,2026-08-21,Carrusel,IA,Sistemas,Autoridad,Consideración,Tutorial/Herramienta,Automatizar no es deshumanizar,"Mostrar cómo aplicar Sistemas para ahorrar tiempo, ordenar procesos y tomar mejores decisiones.",Revísalo hoy,Pendiente,Posicionamiento: fiscalidad + marketing + IA + crecimiento empresarial
48,1,8,Agosto,Hábitos y disciplina,34,7,Sábado,2026-08-22,Post,Marca personal,Autenticidad,Conexión,Afinidad,Personal/Observación,La autoridad también se siente antes de demostrarse,"Compartir una pieza humana sobre Autenticidad conectándola con negocios, identidad y visión.",¿Lo has vivido?,Pendiente,Posicionamiento: fiscalidad + marketing + IA + crecimiento empresarial
49,1,8,Agosto,Hábitos y disciplina,34,7,Domingo,2026-08-23,Reel,Venta,Objeciones,Venta,Conversión,Objeción/CTA,"Si tu negocio factura pero no crece, mira esto","Presentar Objeciones como punto de fricción; explicar problema, consecuencia y cómo lo resuelves con tu enfoque.",Escríbeme NEGOCIO,Pendiente,Posicionamiento: fiscalidad + marketing + IA + crecimiento empresarial
50,1,8,Agosto,Hábitos y disciplina,35,8,Lunes,2026-08-24,Reel,Marketing,Captación,Viral,Descubrimiento,Opinión/Contracorriente,Publicar más no arregla un mensaje débil,"Explicar cómo Captación impacta en la captación, la percepción de marca y las ventas de un negocio real.",Compártelo,Pendiente,Posicionamiento: fiscalidad + marketing + IA + crecimiento empresarial
51,1,8,Agosto,Hábitos y disciplina,35,8,Martes,2026-08-25,Carrusel,Fiscalidad,Deducciones,Autoridad,Consideración,Educativo/Error común,Muchos pagan más impuestos por no entender esto,"Desglosar Deducciones en lenguaje simple, mostrando errores frecuentes, coste oculto y decisión correcta.",Escribe INFO,Pendiente,Posicionamiento: fiscalidad + marketing + IA + crecimiento empresarial
52,1,8,Agosto,Hábitos y disciplina,35,8,Miércoles,2026-08-26,Post,Mentalidad,Consistencia,Conexión,Conexión,Reflexión/Hábito,Querer crecer sin enfoque es agotador,Reflexión práctica sobre Consistencia aplicada a empresarios que quieren crecer sin caos.,Guárdalo para recordarlo,Pendiente,Posicionamiento: fiscalidad + marketing + IA + crecimiento empresarial
53,1,8,Agosto,Hábitos y disciplina,35,8,Jueves,2026-08-27,Reel,Storytelling,Observación empresarial,Conexión,Consideración,Caso real/Historia,Lo que aprendí viendo negocios desde dentro,"Contar una historia sobre Observación empresarial para mostrar que visibilidad, números y criterio van juntos.",Compártelo con alguien,Pendiente,Posicionamiento: fiscalidad + marketing + IA + crecimiento empresarial
54,1,8,Agosto,Hábitos y disciplina,35,8,Viernes,2026-08-28,Carrusel,IA,Investigación,Autoridad,Consideración,Tutorial/Herramienta,La IA sirve más cuando tu negocio ya tiene orden,"Mostrar cómo aplicar Investigación para ahorrar tiempo, ordenar procesos y tomar mejores decisiones.",Aplícalo esta semana,Pendiente,Posicionamiento: fiscalidad + marketing + IA + crecimiento empresarial
55,1,8,Agosto,Hábitos y disciplina,35,8,Sábado,2026-08-29,Post,Marca personal,Naturaleza,Conexión,Afinidad,Personal/Observación,"No construyes marca cuando finges, la construyes cuando sostienes","Compartir una pieza humana sobre Naturaleza conectándola con negocios, identidad y visión.",¿Te identificas?,Pendiente,Posicionamiento: fiscalidad + marketing + IA + crecimiento empresarial
56,1,8,Agosto,Hábitos y disciplina,35,8,Domingo,2026-08-30,Reel,Venta,Diferenciación,Venta,Conversión,Objeción/CTA,"No siempre necesitas más clientes, necesitas mejores decisiones","Presentar Diferenciación como punto de fricción; explicar problema, consecuencia y cómo lo resuelves con tu enfoque.",Envíame MENSAJE,Pendiente,Posicionamiento: fiscalidad + marketing + IA + crecimiento empresarial
57,1,8,Agosto,Hábitos y disciplina,36,9,Lunes,2026-08-31,Reel,Marketing,Mensaje,Viral,Descubrimiento,Opinión/Contracorriente,"Tu negocio no necesita hacerse viral, necesita ser recordado","Explicar cómo Mensaje impacta en la captación, la percepción de marca y las ventas de un negocio real.",Sígueme para más,Pendiente,Posicionamiento: fiscalidad + marketing + IA + crecimiento empresarial
58,1,9,Septiembre,Fiscalidad inteligente,36,9,Martes,2026-09-01,Carrusel,Fiscalidad,Ahorro legal,Autoridad,Consideración,Educativo/Error común,Este fallo fiscal es más común de lo que parece,"Desglosar Ahorro legal en lenguaje simple, mostrando errores frecuentes, coste oculto y decisión correcta.",Toma nota,Pendiente,Posicionamiento: fiscalidad + marketing + IA + crecimiento empresarial
59,1,9,Septiembre,Fiscalidad inteligente,36,9,Miércoles,2026-09-02,Post,Mentalidad,Claridad,Conexión,Conexión,Reflexión/Hábito,No todo cansancio viene de trabajar mucho,Reflexión práctica sobre Claridad aplicada a empresarios que quieren crecer sin caos.,Compártelo con alguien,Pendiente,Posicionamiento: fiscalidad + marketing + IA + crecimiento empresarial
60,1,9,Septiembre,Fiscalidad inteligente,36,9,Jueves,2026-09-03,Reel,Storytelling,Experiencia propia,Conexión,Consideración,Caso real/Historia,"A veces el error no está en el trabajo, sino en la estrategia","Contar una historia sobre Experiencia propia para mostrar que visibilidad, números y criterio van juntos.",¿Lo has vivido?,Pendiente,Posicionamiento: fiscalidad + marketing + IA + crecimiento empresarial
61,1,9,Septiembre,Fiscalidad inteligente,36,9,Viernes,2026-09-04,Carrusel,IA,ChatGPT,Autoridad,Consideración,Tutorial/Herramienta,5 formas de usar IA en un negocio real,"Mostrar cómo aplicar ChatGPT para ahorrar tiempo, ordenar procesos y tomar mejores decisiones.",Guarda esta guía,Pendiente,Posicionamiento: fiscalidad + marketing + IA + crecimiento empresarial
62,1,9,Septiembre,Fiscalidad inteligente,36,9,Sábado,2026-09-05,Post,Marca personal,Valores,Conexión,Afinidad,Personal/Observación,"Tu historia también vende, si sabes contarla","Compartir una pieza humana sobre Valores conectándola con negocios, identidad y visión.",Te leo en comentarios,Pendiente,Posicionamiento: fiscalidad + marketing + IA + crecimiento empresarial
63,1,9,Septiembre,Fiscalidad inteligente,36,9,Domingo,2026-09-06,Reel,Venta,Prueba,Venta,Conversión,Objeción/CTA,"El problema no es vender, es lo que pasa antes y después","Presentar Prueba como punto de fricción; explicar problema, consecuencia y cómo lo resuelves con tu enfoque.",Reserva consultoría,Pendiente,Posicionamiento: fiscalidad + marketing + IA + crecimiento empresarial
64,1,9,Septiembre,Fiscalidad inteligente,37,10,Lunes,2026-09-07,Reel,Marketing,Contenido,Viral,Descubrimiento,Opinión/Contracorriente,"El problema no es Instagram, es tu posicionamiento","Explicar cómo Contenido impacta en la captación, la percepción de marca y las ventas de un negocio real.",¿Te pasa?,Pendiente,Posicionamiento: fiscalidad + marketing + IA + crecimiento empresarial
65,1,9,Septiembre,Fiscalidad inteligente,37,10,Martes,2026-09-08,Carrusel,Fiscalidad,Autónomos,Autoridad,Consideración,Educativo/Error común,"No todo gasto es deducible, y aquí empieza el problema","Desglosar Autónomos en lenguaje simple, mostrando errores frecuentes, coste oculto y decisión correcta.",Revísalo hoy,Pendiente,Posicionamiento: fiscalidad + marketing + IA + crecimiento empresarial
66,1,9,Septiembre,Fiscalidad inteligente,37,10,Miércoles,2026-09-09,Post,Mentalidad,Paciencia,Conexión,Conexión,Reflexión/Hábito,La claridad también es una ventaja competitiva,Reflexión práctica sobre Paciencia aplicada a empresarios que quieren crecer sin caos.,¿Lo has vivido?,Pendiente,Posicionamiento: fiscalidad + marketing + IA + crecimiento empresarial
67,1,9,Septiembre,Fiscalidad inteligente,37,10,Jueves,2026-09-10,Reel,Storytelling,Decisión difícil,Conexión,Consideración,Caso real/Historia,"Un negocio podía crecer, pero nadie sabía que existía","Contar una historia sobre Decisión difícil para mostrar que visibilidad, números y criterio van juntos.",¿Te identificas?,Pendiente,Posicionamiento: fiscalidad + marketing + IA + crecimiento empresarial
68,1,9,Septiembre,Fiscalidad inteligente,37,10,Viernes,2026-09-11,Carrusel,IA,Email,Autoridad,Consideración,Tutorial/Herramienta,"La IA no sustituye tu criterio, lo amplifica","Mostrar cómo aplicar Email para ahorrar tiempo, ordenar procesos y tomar mejores decisiones.",Compártelo con tu equipo,Pendiente,Posicionamiento: fiscalidad + marketing + IA + crecimiento empresarial
69,1,9,Septiembre,Fiscalidad inteligente,37,10,Sábado,2026-09-12,Post,Marca personal,Behind the scenes,Conexión,Afinidad,Personal/Observación,La coherencia da más confianza que la perfección,"Compartir una pieza humana sobre Behind the scenes conectándola con negocios, identidad y visión.",Cuéntame tu experiencia,Pendiente,Posicionamiento: fiscalidad + marketing + IA + crecimiento empresarial
70,1,9,Septiembre,Fiscalidad inteligente,37,10,Domingo,2026-09-13,Reel,Venta,Consultoría,Venta,Conversión,Objeción/CTA,Tu servicio puede ser bueno y aun así no venderse solo,"Presentar Consultoría como punto de fricción; explicar problema, consecuencia y cómo lo resuelves con tu enfoque.",Escribe CRECER,Pendiente,Posicionamiento: fiscalidad + marketing + IA + crecimiento empresarial
71,1,9,Septiembre,Fiscalidad inteligente,38,11,Lunes,2026-09-14,Reel,Marketing,Autoridad,Viral,Descubrimiento,Opinión/Contracorriente,"Si te ven pero no te escriben, esto está fallando","Explicar cómo Autoridad impacta en la captación, la percepción de marca y las ventas de un negocio real.",Déjame tu opinión,Pendiente,Posicionamiento: fiscalidad + marketing + IA + crecimiento empresarial
72,1,9,Septiembre,Fiscalidad inteligente,38,11,Martes,2026-09-15,Carrusel,Fiscalidad,Planificación fiscal,Autoridad,Consideración,Educativo/Error común,Tener ingresos no significa estar bien gestionado,"Desglosar Planificación fiscal en lenguaje simple, mostrando errores frecuentes, coste oculto y decisión correcta.",Aplícalo esta semana,Pendiente,Posicionamiento: fiscalidad + marketing + IA + crecimiento empresarial
73,1,9,Septiembre,Fiscalidad inteligente,38,11,Miércoles,2026-09-16,Post,Mentalidad,Disciplina,Conexión,Conexión,Reflexión/Hábito,Emprender sin disciplina sale caro,Reflexión práctica sobre Disciplina aplicada a empresarios que quieren crecer sin caos.,¿Te identificas?,Pendiente,Posicionamiento: fiscalidad + marketing + IA + crecimiento empresarial
74,1,9,Septiembre,Fiscalidad inteligente,38,11,Jueves,2026-09-17,Reel,Storytelling,Aprendizaje real,Conexión,Consideración,Caso real/Historia,He visto empresas buenas desaparecer por esto,"Contar una historia sobre Aprendizaje real para mostrar que visibilidad, números y criterio van juntos.",Te leo en comentarios,Pendiente,Posicionamiento: fiscalidad + marketing + IA + crecimiento empresarial
