Nº,Fecha,Día,Semana plan,Mes,Pilar,Tema del día,Formato,Guion/Estructura adaptada,Caption,Hashtags,CTA,Estado
11,2026-07-16,Jueves,2,Julio,Storytelling,Conversación real — Lo que aprendí viendo negocios desde dentro,Reel,"Gancho (0-2s): ""Lo que aprendí viendo negocios desde dentro"". Desarrollo (3-15s): Explica cómo conversación real afecta directamente al crecimiento del negocio, con un ejemplo breve y concreto. Cierre (16-20s): Frase de impacto que resuma la idea y conecte con tu posicionamiento.",Lo que aprendí viendo negocios desde dentro. Esta historia sobre conversación real me recuerda por qué insisto tanto en mirar el negocio completo.,#historiasdenegocio #experienciaempresarial #aprendizajereal,Comparte esto con quien lo necesite escuchar.,Pendiente
12,2026-07-17,Viernes,2,Julio,IA,Asistentes IA — La IA sirve más cuando tu negocio ya tiene orden,Carrusel,"Portada: ""La IA sirve más cuando tu negocio ya tiene orden"". Slides 2-6: desarrollar asistentes ia en pasos, errores o claves concretas, una idea por slide. Slide de cierre: resumen + CTA.",La IA sirve más cuando tu negocio ya tiene orden. Así uso asistentes ia para ganar tiempo sin perder criterio.,#inteligenciaartificial #productividad #automatizacion,Cuéntame qué herramienta usas tú.,Pendiente
13,2026-07-18,Sábado,2,Julio,Marca personal,"Tu historia — No construyes marca cuando finges, la construyes cuando sostienes",Post,"Foto o imagen personal/de trabajo. Caption reflexivo sobre tu historia, conectando la idea con tu experiencia real y tu visión de negocio.","No construyes marca cuando finges, la construyes cuando sostienes. Hoy quiero hablarte de tu historia, porque también forma parte de cómo construyo esto.",#marcapersonal #autenticidad #reflexion,Cuéntame tu opinión en comentarios.,Pendiente
14,2026-07-19,Domingo,2,Julio,Venta,"CTA — No siempre necesitas más clientes, necesitas mejores decisiones",Reel,"Gancho (0-2s): ""No siempre necesitas más clientes, necesitas mejores decisiones"". Desarrollo (3-15s): Explica cómo cta afecta directamente al crecimiento del negocio, con un ejemplo breve y concreto. Cierre (16-20s): Frase de impacto que resuma la idea y conecte con tu posicionamiento.","No siempre necesitas más clientes, necesitas mejores decisiones. Si tu negocio tiene relación con cta, esto te interesa.",#ventas #consultoria #crecimientoempresarial,Reserva tu consultoría esta semana.,Pendiente
15,2026-07-20,Lunes,3,Julio,Marketing,"Posicionamiento — Tu negocio no necesita hacerse viral, necesita ser recordado",Reel,"Gancho (0-2s): ""Tu negocio no necesita hacerse viral, necesita ser recordado"". Desarrollo (3-15s): Explica cómo posicionamiento afecta directamente al crecimiento del negocio, con un ejemplo breve y concreto. Cierre (16-20s): Frase de impacto que resuma la idea y conecte con tu posicionamiento.","Llevo años viendo negocios con buen producto y poca visibilidad. Tu negocio no necesita hacerse viral, necesita ser recordado. Todo empieza por posicionamiento bien trabajado, no por publicar más.",#marketingparaempresarios #visibilidad #estrategiadenegocio,Cuéntame tu caso en comentarios.,Pendiente
16,2026-07-21,Martes,3,Julio,Fiscalidad,Errores fiscales — Este fallo fiscal es más común de lo que parece,Carrusel,"Portada: ""Este fallo fiscal es más común de lo que parece"". Slides 2-6: desarrollar errores fiscales en pasos, errores o claves concretas, una idea por slide. Slide de cierre: resumen + CTA.","Este fallo fiscal es más común de lo que parece. Esto pasa constantemente con errores fiscales, y muchos no lo detectan hasta que ya es tarde.",#fiscalidad #autonomos #ahorrolegal,Guarda este carrusel y revísalo antes de tu próxima declaración.,Pendiente
17,2026-07-22,Miércoles,3,Julio,Mentalidad,Resiliencia — No todo cansancio viene de trabajar mucho,Post,"Foto o imagen personal/de trabajo. Caption reflexivo sobre resiliencia, conectando la idea con tu experiencia real y tu visión de negocio.","No todo cansancio viene de trabajar mucho. Resiliencia no es un concepto bonito, es lo que sostiene un negocio cuando las ganas fallan.",#mentalidadempresarial #disciplina #habitos,Guárdalo para recordarlo cuando lo necesites.,Pendiente
18,2026-07-23,Jueves,3,Julio,Storytelling,"Cambio de visión — A veces el error no está en el trabajo, sino en la estrategia",Reel,"Gancho (0-2s): ""A veces el error no está en el trabajo, sino en la estrategia"". Desarrollo (3-15s): Explica cómo cambio de visión afecta directamente al crecimiento del negocio, con un ejemplo breve y concreto. Cierre (16-20s): Frase de impacto que resuma la idea y conecte con tu posicionamiento.","A veces el error no está en el trabajo, sino en la estrategia. Esta historia sobre cambio de visión me recuerda por qué insisto tanto en mirar el negocio completo.",#historiasdenegocio #experienciaempresarial #aprendizajereal,Guarda esta historia para releerla.,Pendiente
19,2026-07-24,Viernes,3,Julio,IA,Ideas de contenido — 5 formas de usar IA en un negocio real,Carrusel,"Portada: ""5 formas de usar IA en un negocio real"". Slides 2-6: desarrollar ideas de contenido en pasos, errores o claves concretas, una idea por slide. Slide de cierre: resumen + CTA.",5 formas de usar IA en un negocio real. Así uso ideas de contenido para ganar tiempo sin perder criterio.,#inteligenciaartificial #productividad #automatizacion,Guarda esta guía y aplícala esta semana.,Pendiente
20,2026-07-25,Sábado,3,Julio,Marca personal,"Universo — Tu historia también vende, si sabes contarla",Post,"Foto o imagen personal/de trabajo. Caption reflexivo sobre universo, conectando la idea con tu experiencia real y tu visión de negocio.","Tu historia también vende, si sabes contarla. Hoy quiero hablarte de universo, porque también forma parte de cómo construyo esto.",#marcapersonal #autenticidad #reflexion,Comparte si te sientes identificado/a.,Pendiente
21,2026-07-26,Domingo,3,Julio,Venta,"Mentoría — El problema no es vender, es lo que pasa antes y después",Reel,"Gancho (0-2s): ""El problema no es vender, es lo que pasa antes y después"". Desarrollo (3-15s): Explica cómo mentoría afecta directamente al crecimiento del negocio, con un ejemplo breve y concreto. Cierre (16-20s): Frase de impacto que resuma la idea y conecte con tu posicionamiento.","El problema no es vender, es lo que pasa antes y después. Si tu negocio tiene relación con mentoría, esto te interesa.",#ventas #consultoria #crecimientoempresarial,Envíame un mensaje y lo vemos juntas.,Pendiente
22,2026-07-27,Lunes,4,Julio,Marketing,"Conversión — El problema no es Instagram, es tu posicionamiento",Reel,"Gancho (0-2s): ""El problema no es Instagram, es tu posicionamiento"". Desarrollo (3-15s): Explica cómo conversión afecta directamente al crecimiento del negocio, con un ejemplo breve y concreto. Cierre (16-20s): Frase de impacto que resuma la idea y conecte con tu posicionamiento.","Llevo años viendo negocios con buen producto y poca visibilidad. El problema no es Instagram, es tu posicionamiento. Todo empieza por conversión bien trabajado, no por publicar más.",#marketingparaempresarios #visibilidad #estrategiadenegocio,Guárdalo y compártelo con alguien que necesite verlo.,Pendiente
23,2026-07-28,Martes,4,Julio,Fiscalidad,"Inspecciones — No todo gasto es deducible, y aquí empieza el problema",Carrusel,"Portada: ""No todo gasto es deducible, y aquí empieza el problema"". Slides 2-6: desarrollar inspecciones en pasos, errores o claves concretas, una idea por slide. Slide de cierre: resumen + CTA.","No todo gasto es deducible, y aquí empieza el problema. Esto pasa constantemente con inspecciones, y muchos no lo detectan hasta que ya es tarde.",#fiscalidad #autonomos #ahorrolegal,Escribe INFO si quieres revisar tu caso.,Pendiente
24,2026-07-29,Miércoles,4,Julio,Mentalidad,Límites — La claridad también es una ventaja competitiva,Post,"Foto o imagen personal/de trabajo. Caption reflexivo sobre límites, conectando la idea con tu experiencia real y tu visión de negocio.","La claridad también es una ventaja competitiva. Límites no es un concepto bonito, es lo que sostiene un negocio cuando las ganas fallan.",#mentalidadempresarial #disciplina #habitos,¿Te identificas? Dímelo abajo.,Pendiente
25,2026-07-30,Jueves,4,Julio,Storytelling,"Caso cliente — Un negocio podía crecer, pero nadie sabía que existía",Reel,"Gancho (0-2s): ""Un negocio podía crecer, pero nadie sabía que existía"". Desarrollo (3-15s): Explica cómo caso cliente afecta directamente al crecimiento del negocio, con un ejemplo breve y concreto. Cierre (16-20s): Frase de impacto que resuma la idea y conecte con tu posicionamiento.","Un negocio podía crecer, pero nadie sabía que existía. Esta historia sobre caso cliente me recuerda por qué insisto tanto en mirar el negocio completo.",#historiasdenegocio #experienciaempresarial #aprendizajereal,Cuéntame si te ha pasado algo similar.,Pendiente
26,2026-07-31,Viernes,4,Julio,IA,"Automatización — La IA no sustituye tu criterio, lo amplifica",Carrusel,"Portada: ""La IA no sustituye tu criterio, lo amplifica"". Slides 2-6: desarrollar automatización en pasos, errores o claves concretas, una idea por slide. Slide de cierre: resumen + CTA.","La IA no sustituye tu criterio, lo amplifica. Así uso automatización para ganar tiempo sin perder criterio.",#inteligenciaartificial #productividad #automatizacion,Escribe IA si quieres la plantilla que uso.,Pendiente
27,2026-08-01,Sábado,4,Agosto,Marca personal,Rutina — La coherencia da más confianza que la perfección,Post,"Foto o imagen personal/de trabajo. Caption reflexivo sobre rutina, conectando la idea con tu experiencia real y tu visión de negocio.","La coherencia da más confianza que la perfección. Hoy quiero hablarte de rutina, porque también forma parte de cómo construyo esto.",#marcapersonal #autenticidad #reflexion,Guarda esta reflexión.,Pendiente
28,2026-08-02,Domingo,4,Agosto,Venta,Oferta — Tu servicio puede ser bueno y aun así no venderse solo,Reel,"Gancho (0-2s): ""Tu servicio puede ser bueno y aun así no venderse solo"". Desarrollo (3-15s): Explica cómo oferta afecta directamente al crecimiento del negocio, con un ejemplo breve y concreto. Cierre (16-20s): Frase de impacto que resuma la idea y conecte con tu posicionamiento.","Tu servicio puede ser bueno y aun así no venderse solo. Si tu negocio tiene relación con oferta, esto te interesa.",#ventas #consultoria #crecimientoempresarial,Escríbeme NEGOCIO y hablamos.,Pendiente
29,2026-08-03,Lunes,5,Agosto,Marketing,"Leads — Si te ven pero no te escriben, esto está fallando",Reel,"Gancho (0-2s): ""Si te ven pero no te escriben, esto está fallando"". Desarrollo (3-15s): Explica cómo leads afecta directamente al crecimiento del negocio, con un ejemplo breve y concreto. Cierre (16-20s): Frase de impacto que resuma la idea y conecte con tu posicionamiento.","Llevo años viendo negocios con buen producto y poca visibilidad. Si te ven pero no te escriben, esto está fallando. Todo empieza por leads bien trabajado, no por publicar más.",#marketingparaempresarios #visibilidad #estrategiadenegocio,Sígueme si quieres más sobre visibilidad.,Pendiente
30,2026-08-04,Martes,5,Agosto,Fiscalidad,Sociedades — Tener ingresos no significa estar bien gestionado,Carrusel,"Portada: ""Tener ingresos no significa estar bien gestionado"". Slides 2-6: desarrollar sociedades en pasos, errores o claves concretas, una idea por slide. Slide de cierre: resumen + CTA.","Tener ingresos no significa estar bien gestionado. Esto pasa constantemente con sociedades, y muchos no lo detectan hasta que ya es tarde.",#fiscalidad #autonomos #ahorrolegal,Compártelo con otro autónomo.,Pendiente
31,2026-08-05,Miércoles,5,Agosto,Mentalidad,Identidad — Emprender sin disciplina sale caro,Post,"Foto o imagen personal/de trabajo. Caption reflexivo sobre identidad, conectando la idea con tu experiencia real y tu visión de negocio.","Emprender sin disciplina sale caro. Identidad no es un concepto bonito, es lo que sostiene un negocio cuando las ganas fallan.",#mentalidadempresarial #disciplina #habitos,Cuéntame en comentarios qué hábito te ha cambiado más.,Pendiente
32,2026-08-06,Jueves,5,Agosto,Storytelling,Lección de negocio — He visto empresas buenas desaparecer por esto,Reel,"Gancho (0-2s): ""He visto empresas buenas desaparecer por esto"". Desarrollo (3-15s): Explica cómo lección de negocio afecta directamente al crecimiento del negocio, con un ejemplo breve y concreto. Cierre (16-20s): Frase de impacto que resuma la idea y conecte con tu posicionamiento.",He visto empresas buenas desaparecer por esto. Esta historia sobre lección de negocio me recuerda por qué insisto tanto en mirar el negocio completo.,#historiasdenegocio #experienciaempresarial #aprendizajereal,Comparte esto con quien lo necesite escuchar.,Pendiente
33,2026-08-07,Viernes,5,Agosto,IA,Análisis — Así ahorro tiempo sin perder calidad,Carrusel,"Portada: ""Así ahorro tiempo sin perder calidad"". Slides 2-6: desarrollar análisis en pasos, errores o claves concretas, una idea por slide. Slide de cierre: resumen + CTA.",Así ahorro tiempo sin perder calidad. Así uso análisis para ganar tiempo sin perder criterio.,#inteligenciaartificial #productividad #automatizacion,Cuéntame qué herramienta usas tú.,Pendiente
34,2026-08-08,Sábado,5,Agosto,Marca personal,Lecciones personales — Detrás del negocio también hay una forma de mirar la vida,Post,"Foto o imagen personal/de trabajo. Caption reflexivo sobre lecciones personales, conectando la idea con tu experiencia real y tu visión de negocio.","Detrás del negocio también hay una forma de mirar la vida. Hoy quiero hablarte de lecciones personales, porque también forma parte de cómo construyo esto.",#marcapersonal #autenticidad #reflexion,Cuéntame tu opinión en comentarios.,Pendiente
35,2026-08-09,Domingo,5,Agosto,Venta,Precio — Lo que te cuesta dinero no siempre se ve a simple vista,Reel,"Gancho (0-2s): ""Lo que te cuesta dinero no siempre se ve a simple vista"". Desarrollo (3-15s): Explica cómo precio afecta directamente al crecimiento del negocio, con un ejemplo breve y concreto. Cierre (16-20s): Frase de impacto que resuma la idea y conecte con tu posicionamiento.","Lo que te cuesta dinero no siempre se ve a simple vista. Si tu negocio tiene relación con precio, esto te interesa.",#ventas #consultoria #crecimientoempresarial,Reserva tu consultoría esta semana.,Pendiente
36,2026-08-10,Lunes,6,Agosto,Marketing,Diferenciación — Muchos negocios confunden contenido con estrategia,Reel,"Gancho (0-2s): ""Muchos negocios confunden contenido con estrategia"". Desarrollo (3-15s): Explica cómo diferenciación afecta directamente al crecimiento del negocio, con un ejemplo breve y concreto. Cierre (16-20s): Frase de impacto que resuma la idea y conecte con tu posicionamiento.","Llevo años viendo negocios con buen producto y poca visibilidad. Muchos negocios confunden contenido con estrategia. Todo empieza por diferenciación bien trabajado, no por publicar más.",#marketingparaempresarios #visibilidad #estrategiadenegocio,Cuéntame tu caso en comentarios.,Pendiente
37,2026-08-11,Martes,6,Agosto,Fiscalidad,IVA — 3 errores fiscales que te hacen perder dinero,Carrusel,"Portada: ""3 errores fiscales que te hacen perder dinero"". Slides 2-6: desarrollar iva en pasos, errores o claves concretas, una idea por slide. Slide de cierre: resumen + CTA.","3 errores fiscales que te hacen perder dinero. Esto pasa constantemente con iva, y muchos no lo detectan hasta que ya es tarde.",#fiscalidad #autonomos #ahorrolegal,Guarda este carrusel y revísalo antes de tu próxima declaración.,Pendiente
38,2026-08-12,Miércoles,6,Agosto,Mentalidad,Hábitos — La motivación no sostiene un negocio,Post,"Foto o imagen personal/de trabajo. Caption reflexivo sobre hábitos, conectando la idea con tu experiencia real y tu visión de negocio.","La motivación no sostiene un negocio. Hábitos no es un concepto bonito, es lo que sostiene un negocio cuando las ganas fallan.",#mentalidadempresarial #disciplina #habitos,Guárdalo para recordarlo cuando lo necesites.,Pendiente
39,2026-08-13,Jueves,6,Agosto,Storytelling,Antes y después — Un cliente estuvo a punto de cerrar y el problema no era el impuesto,Reel,"Gancho (0-2s): ""Un cliente estuvo a punto de cerrar y el problema no era el impuesto"". Desarrollo (3-15s): Explica cómo antes y después afecta directamente al crecimiento del negocio, con un ejemplo breve y concreto. Cierre (16-20s): Frase de impacto que resuma la idea y conecte con tu posicionamiento.",Un cliente estuvo a punto de cerrar y el problema no era el impuesto. Esta historia sobre antes y después me recuerda por qué insisto tanto en mirar el negocio completo.,#historiasdenegocio #experienciaempresarial #aprendizajereal,Guarda esta historia para releerla.,Pendiente
40,2026-08-14,Viernes,6,Agosto,IA,Procesos — La mayoría usa ChatGPT mal por este motivo,Carrusel,"Portada: ""La mayoría usa ChatGPT mal por este motivo"". Slides 2-6: desarrollar procesos en pasos, errores o claves concretas, una idea por slide. Slide de cierre: resumen + CTA.",La mayoría usa ChatGPT mal por este motivo. Así uso procesos para ganar tiempo sin perder criterio.,#inteligenciaartificial #productividad #automatizacion,Guarda esta guía y aplícala esta semana.,Pendiente
41,2026-08-15,Sábado,6,Agosto,Marca personal,Creencias — No todo lo importante cabe en un KPI,Post,"Foto o imagen personal/de trabajo. Caption reflexivo sobre creencias, conectando la idea con tu experiencia real y tu visión de negocio.","No todo lo importante cabe en un KPI. Hoy quiero hablarte de creencias, porque también forma parte de cómo construyo esto.",#marcapersonal #autenticidad #reflexion,Comparte si te sientes identificado/a.,Pendiente
42,2026-08-16,Domingo,6,Agosto,Venta,Consecuencia — Seguir igual también tiene un precio,Reel,"Gancho (0-2s): ""Seguir igual también tiene un precio"". Desarrollo (3-15s): Explica cómo consecuencia afecta directamente al crecimiento del negocio, con un ejemplo breve y concreto. Cierre (16-20s): Frase de impacto que resuma la idea y conecte con tu posicionamiento.","Seguir igual también tiene un precio. Si tu negocio tiene relación con consecuencia, esto te interesa.",#ventas #consultoria #crecimientoempresarial,Envíame un mensaje y lo vemos juntas.,Pendiente
43,2026-08-17,Lunes,7,Agosto,Marketing,Instagram — No necesitas más seguidores,Reel,"Gancho (0-2s): ""No necesitas más seguidores"". Desarrollo (3-15s): Explica cómo instagram afecta directamente al crecimiento del negocio, con un ejemplo breve y concreto. Cierre (16-20s): Frase de impacto que resuma la idea y conecte con tu posicionamiento.","Llevo años viendo negocios con buen producto y poca visibilidad. No necesitas más seguidores. Todo empieza por instagram bien trabajado, no por publicar más.",#marketingparaempresarios #visibilidad #estrategiadenegocio,Guárdalo y compártelo con alguien que necesite verlo.,Pendiente
44,2026-08-18,Martes,7,Agosto,Fiscalidad,Facturación — Lo que Hacienda no te perdona aunque factures poco,Carrusel,"Portada: ""Lo que Hacienda no te perdona aunque factures poco"". Slides 2-6: desarrollar facturación en pasos, errores o claves concretas, una idea por slide. Slide de cierre: resumen + CTA.","Lo que Hacienda no te perdona aunque factures poco. Esto pasa constantemente con facturación, y muchos no lo detectan hasta que ya es tarde.",#fiscalidad #autonomos #ahorrolegal,Escribe INFO si quieres revisar tu caso.,Pendiente
45,2026-08-19,Miércoles,7,Agosto,Mentalidad,Energía — Tus hábitos también aparecen en tu facturación,Post,"Foto o imagen personal/de trabajo. Caption reflexivo sobre energía, conectando la idea con tu experiencia real y tu visión de negocio.","Tus hábitos también aparecen en tu facturación. Energía no es un concepto bonito, es lo que sostiene un negocio cuando las ganas fallan.",#mentalidadempresarial #disciplina #habitos,¿Te identificas? Dímelo abajo.,Pendiente
46,2026-08-20,Jueves,7,Agosto,Storytelling,Historia breve — Esta historia explica por qué vender no basta,Reel,"Gancho (0-2s): ""Esta historia explica por qué vender no basta"". Desarrollo (3-15s): Explica cómo historia breve afecta directamente al crecimiento del negocio, con un ejemplo breve y concreto. Cierre (16-20s): Frase de impacto que resuma la idea y conecte con tu posicionamiento.",Esta historia explica por qué vender no basta. Esta historia sobre historia breve me recuerda por qué insisto tanto en mirar el negocio completo.,#historiasdenegocio #experienciaempresarial #aprendizajereal,Cuéntame si te ha pasado algo similar.,Pendiente
47,2026-08-21,Viernes,7,Agosto,IA,Sistemas — Automatizar no es deshumanizar,Carrusel,"Portada: ""Automatizar no es deshumanizar"". Slides 2-6: desarrollar sistemas en pasos, errores o claves concretas, una idea por slide. Slide de cierre: resumen + CTA.",Automatizar no es deshumanizar. Así uso sistemas para ganar tiempo sin perder criterio.,#inteligenciaartificial #productividad #automatizacion,Escribe IA si quieres la plantilla que uso.,Pendiente
48,2026-08-22,Sábado,7,Agosto,Marca personal,Autenticidad — La autoridad también se siente antes de demostrarse,Post,"Foto o imagen personal/de trabajo. Caption reflexivo sobre autenticidad, conectando la idea con tu experiencia real y tu visión de negocio.","La autoridad también se siente antes de demostrarse. Hoy quiero hablarte de autenticidad, porque también forma parte de cómo construyo esto.",#marcapersonal #autenticidad #reflexion,Guarda esta reflexión.,Pendiente
49,2026-08-23,Domingo,7,Agosto,Venta,"Objeciones — Si tu negocio factura pero no crece, mira esto",Reel,"Gancho (0-2s): ""Si tu negocio factura pero no crece, mira esto"". Desarrollo (3-15s): Explica cómo objeciones afecta directamente al crecimiento del negocio, con un ejemplo breve y concreto. Cierre (16-20s): Frase de impacto que resuma la idea y conecte con tu posicionamiento.","Si tu negocio factura pero no crece, mira esto. Si tu negocio tiene relación con objeciones, esto te interesa.",#ventas #consultoria #crecimientoempresarial,Escríbeme NEGOCIO y hablamos.,Pendiente
50,2026-08-24,Lunes,8,Agosto,Marketing,Captación — Publicar más no arregla un mensaje débil,Reel,"Gancho (0-2s): ""Publicar más no arregla un mensaje débil"". Desarrollo (3-15s): Explica cómo captación afecta directamente al crecimiento del negocio, con un ejemplo breve y concreto. Cierre (16-20s): Frase de impacto que resuma la idea y conecte con tu posicionamiento.","Llevo años viendo negocios con buen producto y poca visibilidad. Publicar más no arregla un mensaje débil. Todo empieza por captación bien trabajado, no por publicar más.",#marketingparaempresarios #visibilidad #estrategiadenegocio,Sígueme si quieres más sobre visibilidad.,Pendiente
51,2026-08-25,Martes,8,Agosto,Fiscalidad,Deducciones — Muchos pagan más impuestos por no entender esto,Carrusel,"Portada: ""Muchos pagan más impuestos por no entender esto"". Slides 2-6: desarrollar deducciones en pasos, errores o claves concretas, una idea por slide. Slide de cierre: resumen + CTA.","Muchos pagan más impuestos por no entender esto. Esto pasa constantemente con deducciones, y muchos no lo detectan hasta que ya es tarde.",#fiscalidad #autonomos #ahorrolegal,Compártelo con otro autónomo.,Pendiente
52,2026-08-26,Miércoles,8,Agosto,Mentalidad,Consistencia — Querer crecer sin enfoque es agotador,Post,"Foto o imagen personal/de trabajo. Caption reflexivo sobre consistencia, conectando la idea con tu experiencia real y tu visión de negocio.","Querer crecer sin enfoque es agotador. Consistencia no es un concepto bonito, es lo que sostiene un negocio cuando las ganas fallan.",#mentalidadempresarial #disciplina #habitos,Cuéntame en comentarios qué hábito te ha cambiado más.,Pendiente
53,2026-08-27,Jueves,8,Agosto,Storytelling,Observación empresarial — Lo que aprendí viendo negocios desde dentro,Reel,"Gancho (0-2s): ""Lo que aprendí viendo negocios desde dentro"". Desarrollo (3-15s): Explica cómo observación empresarial afecta directamente al crecimiento del negocio, con un ejemplo breve y concreto. Cierre (16-20s): Frase de impacto que resuma la idea y conecte con tu posicionamiento.",Lo que aprendí viendo negocios desde dentro. Esta historia sobre observación empresarial me recuerda por qué insisto tanto en mirar el negocio completo.,#historiasdenegocio #experienciaempresarial #aprendizajereal,Comparte esto con quien lo necesite escuchar.,Pendiente
54,2026-08-28,Viernes,8,Agosto,IA,Investigación — La IA sirve más cuando tu negocio ya tiene orden,Carrusel,"Portada: ""La IA sirve más cuando tu negocio ya tiene orden"". Slides 2-6: desarrollar investigación en pasos, errores o claves concretas, una idea por slide. Slide de cierre: resumen + CTA.",La IA sirve más cuando tu negocio ya tiene orden. Así uso investigación para ganar tiempo sin perder criterio.,#inteligenciaartificial #productividad #automatizacion,Cuéntame qué herramienta usas tú.,Pendiente
55,2026-08-29,Sábado,8,Agosto,Marca personal,"Naturaleza — No construyes marca cuando finges, la construyes cuando sostienes",Post,"Foto o imagen personal/de trabajo. Caption reflexivo sobre naturaleza, conectando la idea con tu experiencia real y tu visión de negocio.","No construyes marca cuando finges, la construyes cuando sostienes. Hoy quiero hablarte de naturaleza, porque también forma parte de cómo construyo esto.",#marcapersonal #autenticidad #reflexion,Cuéntame tu opinión en comentarios.,Pendiente
